,0
1061,1
1062,0
1063,1
1064,0
1065,0
1066,1
1067,0
1068,0
1069,0
1070,2
1071,0
1072,1
1073,0
1074,0
1075,1
1076,2
1077,0
1078,1
1079,1
1080,1
1081,1
1082,0
1083,0
1084,1
1085,1
1086,0
1087,1
1088,1
1089,2
1090,2
1091,1
1092,1
1093,2
1094,2
1095,0
1096,2
1097,2
1098,2
1099,0
1100,2
1101,1
1102,1
1103,0
1104,1
1105,0
1106,1
1107,2
1108,0
1109,2
1110,2
1111,2
1112,2
1113,1
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,0
1126,1
1127,1
1128,2
1129,1
1130,1
1131,1
1132,2
1133,2
1134,1
1135,1
1136,0
1137,1
1138,2
1139,1
1140,0
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,2
1151,1
1152,1
1153,2
1154,2
1155,2
1156,0
1157,0
1158,0
1159,0
1160,2
1161,0
1162,1
1163,1
1164,0
1165,1
1166,1
1167,1
1168,1
1169,2
1170,0
1171,0
1172,0
1173,1
1174,2
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,0
1182,0
1183,1
1184,1
1185,2
1186,1
1187,1
1188,1
1189,2
1190,2
1191,2
1192,2
1193,0
1194,0
1195,1
1196,0
1197,2
1198,0
1199,0
1200,2
1201,2
1202,2
1203,0
1204,1
1205,0
1206,2
1207,0
1208,0
1209,0
1210,0
1211,2
1212,2
1213,1
1214,1
1215,0
1216,0
1217,0
1218,0
1219,2
1220,0
1221,0
1222,2
1223,0
1224,2
1225,0
1226,1
1227,2
1228,0
1229,1
1230,2
1231,1
1232,2
1233,0
1234,0
1235,1
1236,1
1237,0
1238,0
1239,1
1240,0
1241,0
1242,1
1243,1
1244,1
1245,2
1246,1
1247,0
1248,0
1249,0
1250,1
1251,1
1252,1
1253,0
1254,2
1255,1
1256,1
1257,2
1258,0
1259,2
1260,1
1261,1
1262,1
1263,2
1264,1
1265,1
1266,1
1267,2
1268,1
1269,1
1270,2
1271,0
1272,2
1273,2
1274,0
1275,2
1276,1
1277,1
1278,1
1279,1
1280,0
1281,0
1282,2
1283,1
1284,0
1285,1
1286,0
1287,1
1288,1
1289,2
1290,1
1291,1
1292,0
1293,0
1294,0
1295,0
1296,0
1297,2
1298,1
1299,0
1300,1
1301,1
1302,0
1303,1
1304,0
1305,1
1306,0
1307,0
1308,0
1309,0
1310,0
1311,1
1312,0
1313,1
1314,0
1315,1
1316,0
1317,0
1318,2
1319,0
1320,0
1321,1
1322,0
1323,2
1324,0
1325,1
1326,0
1327,1
1328,1
1329,0
1330,1
1331,0
1332,2
1333,2
1334,0
1335,0
1336,0
1337,0
1338,0
1339,1
1340,0
1341,2
1342,2
1343,1
1344,2
1345,2
1346,0
1347,1
1348,2
1349,0
1350,0
1351,0
1352,1
1353,2
1354,1
1355,0
1356,0
1357,2
1358,0
1359,0
1360,0
1361,2
1362,0
1363,2
1364,0
1365,1
1366,1
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,1
1374,1
1375,0
1376,0
1377,2
1378,1
1379,2
1380,2
1381,0
1382,1
1383,0
1384,1
1385,0
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,2
1401,0
1402,1
1403,0
1404,0
1405,1
1406,1
1407,2
1408,1
1409,1
1410,1
1411,2
1412,0
1413,2
1414,0
1415,0
1416,0
1417,1
1418,1
1419,2
1420,1
1421,1
1422,1
1423,1
1424,0
1425,0
1426,1
1427,1
1428,1
1429,1
1430,0
1431,1
1432,1
1433,1
1434,1
1435,2
1436,2
1437,0
1438,0
1439,1
1440,2
1441,1
1442,0
1443,2
1444,1
1445,1
1446,1
1447,0
1448,0
1449,2
1450,2
1451,2
1452,0
1453,2
1454,0
1455,1
1456,0
1457,0
1458,1
1459,1
1460,1
1461,0
1462,1
1463,1
1464,1
1465,0
1466,2
1467,1
1468,2
1469,0
1470,0
1471,2
1472,0
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,0
1481,0
1482,1
1483,1
1484,2
1485,0
1486,2
1487,1
1488,1
1489,0
1490,1
1491,0
1492,2
1493,1
1494,0
1495,0
1496,0
1497,1
1498,2
1499,2
1500,0
1501,0
1502,0
1503,0
1504,0
1505,1
1506,1
1507,1
1508,0
1509,1
1510,2
1511,2
1512,0
1513,1
1514,1
1515,2
1516,0
1517,2
1518,0
1519,0
1520,1
1521,0
1522,0
1523,1
1524,0
1525,2
1526,2
1527,2
1528,0
1529,2
1530,2
1531,2
1532,2
1533,1
1534,0
1535,0
1536,0
1537,0
1538,1
1539,2
1540,2
1541,0
1542,0
1543,0
1544,0
1545,0
1546,0
1547,0
1548,1
1549,1
1550,1
1551,2
1552,2
1553,0
1554,1
1555,2
1556,0
1557,0
1558,0
1559,0
1560,0
1561,2
1562,2
1563,2
1564,0
1565,1
1566,1
1567,1
1568,2
1569,2
1570,0
1571,0
1572,0
1573,1
1574,1
1575,1
1576,1
1577,2
1578,0
1579,1
1580,2
1581,2
1582,2
1583,2
1584,2
1585,1
1586,0
1587,2
1588,0
1589,0
1590,0
1591,0
1592,1
1593,0
1594,0
1595,2
1596,1
1597,2
1598,0
1599,1
1600,0
1601,1
1602,1
1603,2
1604,2
1605,2
1606,2
1607,1
1608,1
1609,1
1610,1
1611,2
1612,1
1613,0
1614,1
1615,2
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,0
1624,0
1625,1
1626,1
1627,1
1628,1
1629,2
1630,2
1631,1
1632,0
1633,1
1634,2
1635,2
1636,1
1637,0
1638,1
1639,1
1640,1
1641,2
1642,0
1643,0
1644,2
1645,2
1646,2
1647,0
1648,1
1649,1
1650,2
1651,1
1652,1
1653,1
1654,0
1655,0
1656,1
1657,1
1658,2
1659,1
1660,1
1661,2
1662,1
1663,1
1664,0
1665,1
1666,0
1667,0
1668,0
1669,2
1670,0
1671,0
1672,0
1673,2
1674,2
1675,1
1676,2
1677,1
1678,1
1679,1
1680,0
1681,0
1682,0
1683,0
1684,2
1685,0
1686,2
1687,1
1688,2
1689,2
1690,1
1691,2
1692,1
1693,1
1694,1
1695,0
1696,2
1697,1
1698,1
1699,2
1700,0
1701,2
1702,2
1703,2
1704,1
1705,0
1706,1
1707,1
1708,0
1709,1
1710,2
1711,0
1712,2
1713,1
1714,0
1715,0
1716,0
1717,0
1718,1
1719,0
1720,2
1721,2
1722,1
1723,1
1724,2
1725,1
1726,0
1727,0
1728,2
1729,0
1730,2
1731,0
1732,2
1733,0
1734,2
1735,1
1736,2
1737,2
1738,1
1739,1
1740,1
1741,1
1742,0
1743,2
1744,1
1745,1
1746,1
1747,2
1748,1
1749,0
1750,0
1751,1
1752,1
1753,0
1754,0
1755,1
1756,2
1757,2
1758,1
1759,2
1760,0
1761,0
1762,0
1763,1
1764,0
1765,2
1766,1
1767,0
1768,1
1769,2
1770,0
1771,2
1772,0
1773,2
1774,0
1775,2
1776,0
1777,1
1778,0
1779,0
1780,0
1781,2
1782,2
1783,2
1784,1
1785,1
1786,0
1787,1
1788,0
1789,0
1790,2
1791,2
1792,1
1793,1
1794,1
1795,1
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,0
1804,0
1805,1
1806,1
1807,2
1808,1
1809,1
1810,1
1811,1
1812,0
1813,2
1814,0
1815,0
1816,0
1817,1
1818,1
1819,2
1820,0
1821,0
1822,2
1823,0
1824,0
1825,0
1826,0
1827,0
1828,2
1829,0
1830,0
1831,2
1832,0
1833,1
1834,1
1835,2
1836,0
1837,0
1838,0
1839,1
1840,1
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,2
1848,2
1849,0
1850,0
1851,0
1852,0
1853,0
1854,2
1855,1
1856,2
1857,0
1858,0
1859,2
1860,0
1861,0
1862,2
1863,2
1864,2
1865,1
1866,1
1867,1
1868,1
1869,1
1870,0
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,1
1884,1
1885,2
1886,1
1887,1
1888,0
1889,0
1890,0
1891,2
1892,0
1893,0
1894,0
1895,2
1896,2
1897,0
1898,0
1899,0
1900,2
1901,1
1902,1
1903,1
1904,0
1905,0
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,0
1913,0
1914,2
1915,2
1916,0
1917,0
1918,2
1919,2
1920,2
1921,0
1922,0
1923,0
1924,1
1925,0
1926,2
1927,0
1928,1
1929,0
1930,1
1931,1
1932,0
1933,1
1934,2
1935,2
1936,1
1937,0
1938,0
1939,2
1940,2
1941,2
1942,1
1943,0
1944,1
1945,1
1946,0
1947,0
1948,1
1949,0
1950,2
1951,0
1952,1
1953,1
1954,1
1955,0
1956,1
1957,1
1958,1
1959,2
1960,0
1961,1
1962,0
1963,1
1964,1
1965,0
1966,1
1967,0
1968,1
1969,0
1970,2
1971,0
1972,2
1973,0
1974,0
1975,1
1976,0
1977,1
1978,1
1979,0
1980,0
1981,0
1982,1
1983,1
1984,0
1985,0
1986,1
1987,0
1988,1
1989,1
1990,2
1991,1
1992,0
1993,1
1994,2
1995,1
1996,1
1997,0
1998,0
1999,2
2000,2
2001,2
2002,2
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,2
2011,0
2012,0
2013,0
2014,1
2015,0
2016,1
2017,1
2018,1
2019,1
2020,2
2021,1
2022,1
2023,0
2024,2
2025,0
2026,0
2027,1
2028,1
2029,0
2030,1
2031,0
2032,1
2033,0
2034,0
2035,1
2036,2
2037,1
2038,1
2039,1
2040,2
2041,0
2042,1
2043,1
2044,2
2045,0
2046,0
2047,0
2048,2
2049,0
2050,0
2051,0
2052,2
2053,0
2054,1
2055,1
2056,0
2057,1
2058,0
2059,1
2060,2
2061,0
2062,0
2063,1
2064,0
2065,1
2066,1
2067,2
2068,1
2069,2
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,2
2080,2
2081,0
2082,1
2083,1
2084,2
2085,0
2086,0
2087,0
2088,0
2089,0
2090,1
2091,0
2092,0
2093,0
2094,2
2095,0
2096,2
2097,2
2098,1
2099,1
2100,1
2101,1
2102,0
2103,1
2104,2
2105,1
2106,0
2107,0
2108,1
2109,0
2110,2
2111,1
2112,2
2113,2
2114,2
2115,1
2116,1
2117,1
2118,0
2119,0
2120,2
2121,1
2122,2
2123,0
2124,1
2125,0
2126,1
2127,0
2128,1
2129,0
2130,1
2131,1
2132,2
2133,0
2134,1
2135,1
2136,1
2137,2
2138,2
2139,1
2140,0
2141,2
2142,0
2143,0
2144,0
2145,2
2146,2
2147,0
2148,0
2149,0
2150,1
2151,1
2152,1
2153,1
2154,2
2155,2
2156,0
2157,0
2158,2
2159,1
2160,0
2161,0
2162,0
2163,1
2164,1
2165,2
2166,0
2167,1
2168,2
2169,2
2170,1
2171,2
2172,0
2173,0
2174,1
2175,2
2176,2
2177,0
2178,1
2179,0
2180,0
2181,1
2182,2
2183,0
2184,2
2185,0
2186,1
2187,1
2188,0
2189,2
2190,1
2191,0
2192,2
2193,0
2194,0
2195,0
2196,0
2197,2
2198,1
2199,2
2200,1
2201,0
2202,0
2203,1
2204,1
2205,0
2206,0
2207,1
2208,2
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,2
2221,2
2222,2
2223,0
2224,0
2225,1
2226,1
2227,2
2228,2
2229,2
2230,2
2231,2
2232,2
2233,2
2234,2
2235,2
2236,0
2237,1
2238,1
2239,2
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,1
2248,1
2249,0
2250,0
2251,0
2252,0
2253,2
2254,2
2255,0
2256,0
2257,0
2258,2
2259,2
2260,0
2261,0
2262,2
2263,0
2264,0
2265,0
2266,2
2267,1
2268,1
2269,0
2270,2
2271,1
2272,1
2273,0
2274,0
2275,0
2276,0
2277,1
2278,1
2279,2
2280,0
2281,0
2282,0
2283,0
2284,1
2285,1
2286,1
2287,1
2288,1
2289,2
2290,1
2291,1
2292,0
2293,1
2294,1
2295,1
2296,1
2297,1
2298,2
2299,2
2300,1
2301,2
2302,0
2303,0
2304,0
2305,2
2306,0
2307,0
2308,0
2309,0
2310,2
2311,0
2312,0
2313,0
2314,2
2315,2
2316,2
2317,1
2318,1
2319,1
2320,0
2321,1
2322,0
2323,1
2324,1
2325,2
2326,0
2327,0
2328,0
2329,2
2330,0
2331,0
2332,0
2333,0
2334,1
2335,1
2336,1
2337,1
2338,0
2339,2
2340,1
2341,0
2342,0
2343,1
2344,0
2345,1
2346,0
2347,1
2348,1
2349,1
2350,2
2351,2
2352,1
2353,1
2354,1
2355,1
2356,0
2357,0
2358,1
2359,2
2360,2
2361,0
2362,0
2363,1
2364,1
2365,0
2366,0
2367,2
2368,1
2369,1
2370,1
2371,1
2372,1
2373,1
2374,1
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,1
2382,2
2383,1
2384,2
2385,2
2386,0
2387,0
2388,0
2389,0
2390,1
2391,1
2392,0
2393,2
2394,1
2395,1
2396,0
2397,1
2398,1
2399,0
2400,1
2401,1
2402,1
2403,2
2404,2
2405,2
2406,0
2407,0
2408,1
2409,0
2410,2
2411,2
2412,0
2413,0
2414,2
2415,2
2416,2
2417,2
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,2
2425,2
2426,1
2427,1
2428,2
2429,0
2430,0
2431,0
2432,2
2433,2
2434,2
2435,0
2436,2
2437,2
2438,0
2439,0
2440,2
2441,2
2442,1
2443,1
2444,0
2445,2
2446,0
2447,2
2448,0
2449,0
2450,2
2451,2
2452,1
2453,1
2454,1
2455,1
2456,0
2457,0
2458,1
2459,1
2460,1
2461,1
2462,0
2463,1
2464,1
2465,1
2466,0
2467,0
2468,1
2469,2
2470,2
2471,2
2472,1
2473,1
2474,1
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,1
2491,2
2492,2
2493,0
2494,2
2495,1
2496,0
2497,0
2498,0
2499,0
2500,1
2501,1
2502,2
2503,2
2504,2
2505,2
2506,2
2507,0
2508,0
2509,0
2510,0
2511,0
2512,0
2513,0
2514,2
2515,2
2516,0
2517,0
2518,0
2519,0
2520,0
2521,0
2522,2
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2529,2
2530,1
2531,1
2532,0
2533,1
2534,1
2535,1
2536,1
2537,1
2538,2
2539,2
2540,2
2541,2
2542,2
2543,2
2544,2
2545,2
2546,0
2547,0
2548,0
2549,0
2550,2
2551,0
2552,0
2553,0
2554,0
2555,0
2556,2
2557,2
2558,0
2559,0
2560,2
2561,2
2562,1
2563,1
2564,0
2565,0
2566,1
2567,1
2568,1
2569,0
2570,0
2571,0
2572,0
2573,0
2574,1
2575,1
2576,1
2577,2
2578,0
2579,0
2580,0
2581,0
2582,2
2583,2
2584,2
2585,0
2586,0
2587,2
2588,2
2589,0
2590,0
2591,1
2592,0
2593,0
2594,0
2595,0
2596,0
2597,0
2598,0
2599,0
2600,2
2601,1
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,0
2609,2
2610,2
2611,0
2612,0
2613,1
2614,2
2615,0
2616,2
2617,2
2618,1
2619,0
2620,2
2621,1
2622,0
2623,0
2624,0
2625,2
2626,2
2627,0
2628,1
2629,0
2630,0
2631,0
2632,2
2633,1
2634,1
2635,1
2636,2
2637,0
2638,2
2639,0
2640,1
2641,0
2642,2
2643,1
2644,0
2645,1
2646,2
2647,2
2648,0
2649,1
2650,0
2651,1
2652,0
2653,1
2654,0
2655,0
2656,0
2657,0
2658,1
2659,0
2660,1
2661,2
2662,1
2663,0
2664,0
2665,1
2666,0
2667,2
2668,1
2669,0
2670,2
2671,0
2672,1
2673,0
2674,0
2675,2
2676,0
2677,0
2678,0
2679,0
2680,1
2681,0
2682,2
2683,0
2684,1
2685,2
2686,2
2687,1
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,2
2696,2
2697,0
2698,1
2699,1
2700,1
2701,0
2702,2
2703,2
2704,2
2705,0
2706,1
2707,2
2708,2
2709,1
2710,0
2711,0
2712,2
2713,0
2714,0
2715,0
2716,1
2717,0
2718,2
2719,0
2720,0
2721,2
2722,2
2723,1
2724,2
2725,2
2726,1
2727,0
2728,0
2729,1
2730,1
2731,1
2732,0
2733,2
2734,1
2735,1
2736,0
2737,1
2738,0
2739,0
2740,2
2741,0
2742,0
2743,0
2744,0
2745,2
2746,2
2747,1
2748,0
2749,0
2750,0
2751,0
2752,2
2753,1
2754,1
2755,1
2756,2
2757,0
2758,0
2759,1
2760,0
2761,0
2762,0
2763,0
2764,0
2765,0
2766,1
2767,1
2768,1
2769,1
2770,2
2771,2
2772,0
2773,1
2774,1
2775,1
2776,1
2777,0
2778,2
2779,0
2780,0
2781,1
2782,2
2783,0
2784,2
2785,1
2786,0
2787,0
2788,0
2789,2
2790,0
2791,2
2792,1
2793,0
2794,1
2795,0
2796,2
2797,1
2798,0
2799,0
2800,0
2801,1
2802,0
2803,2
2804,1
2805,1
2806,1
2807,0
2808,0
2809,0
2810,2
2811,2
2812,0
2813,1
2814,1
2815,2
2816,2
2817,2
2818,0
2819,1
2820,1
2821,0
2822,1
2823,1
2824,0
2825,0
2826,2
2827,0
2828,0
2829,0
2830,2
2831,1
2832,1
2833,1
2834,0
2835,2
2836,0
2837,2
2838,0
2839,0
2840,1
2841,1
2842,1
2843,1
2844,1
2845,0
2846,1
2847,0
2848,2
2849,2
2850,2
2851,0
2852,0
2853,0
2854,0
2855,2
2856,0
2857,0
2858,0
2859,1
2860,2
2861,2
2862,1
2863,0
2864,1
2865,1
2866,0
2867,1
2868,2
2869,0
2870,2
2871,1
2872,0
2873,0
2874,0
2875,1
2876,0
2877,2
2878,1
2879,1
2880,1
2881,0
2882,2
2883,1
2884,1
2885,0
2886,0
2887,1
2888,1
2889,1
2890,1
2891,1
2892,0
2893,0
2894,1
2895,1
2896,2
2897,2
2898,0
2899,0
2900,2
2901,0
2902,1
2903,1
2904,0
2905,1
2906,0
2907,2
2908,0
2909,0
2910,0
2911,2
2912,1
2913,0
2914,1
2915,1
2916,0
2917,1
2918,1
2919,0
2920,0
2921,1
2922,1
2923,1
2924,1
2925,1
2926,1
2927,1
2928,1
2929,2
2930,1
2931,1
2932,1
2933,1
2934,1
2935,1
2936,2
2937,2
2938,2
2939,0
2940,2
2941,2
2942,2
2943,0
2944,0
2945,0
2946,0
2947,0
2948,2
2949,2
2950,2
2951,0
2952,2
2953,2
2954,2
2955,2
2956,2
2957,0
2958,2
2959,0
2960,1
2961,2
2962,1
2963,1
2964,0
2965,0
2966,0
2967,0
2968,1
2969,2
2970,0
2971,0
2972,0
2973,0
2974,1
2975,1
2976,2
2977,1
2978,1
2979,0
2980,0
2981,0
2982,1
2983,0
2984,0
2985,1
2986,2
2987,2
2988,0
2989,1
2990,1
2991,1
2992,1
2993,0
2994,0
2995,0
2996,0
2997,2
